delta_v,delta_g,delta_h,p,v,g,h,f,c,cost,reward
-0.2042259813690941,0.4026545583400374,-0.41008252339471807,100.0,49.79577401863091,54.02654558340038,47.64139628626104,19.42257921280338,202.1499738034901,260.4177114419002,-260.4177114419002
-0.7951594933061967,-0.2837115585301211,-0.6332862164401909,100.0,49.000614525324714,51.189429998099165,43.999028868135746,20.775337955454784,198.0216733492449,260.34768721560926,-260.34768721560926
0.6016266508426891,-0.7989911137330383,-0.9835031712872875,100.0,49.602241176167404,43.199518860768784,38.34237660929404,30.193390143954293,201.16864175248216,291.74881218434507,-291.74881218434507
0.7515966947095443,-0.20757202059051028,0.4068435841871272,100.0,50.353837870876944,41.123798654863684,40.682351452969584,24.133077228112693,194.3654772483019,266.76470893263996,-266.76470893263996
0.41085503329074213,-0.2487811892419154,0.6430269685273724,100.0,50.76469290416769,38.63598676244453,44.38074314117899,40.40622170003508,190.4288008340202,311.6474659341254,-311.6474659341254
0.7191780882975543,-0.7822581954966159,-0.7839367588029129,100.0,51.48387099246524,30.81340480747837,39.87190395597599,33.123349631745505,200.11176586733677,299.4818147625733,-299.4818147625733
0.26044246094662604,0.2138707440466312,0.7977105292118805,100.0,51.74431345341187,32.95211224794468,44.459963454617,48.76541661125497,201.48995999330452,347.78620982706946,-347.78620982706946
0.14553300257149915,-0.34066023675540813,0.17420835219652098,100.0,51.88984645598337,29.5455098803906,45.4619287738256,46.656573242703054,199.06594260615822,339.0356623342674,-339.0356623342674
0.11392112581195457,-0.5120079663723069,-0.1856220403564941,100.0,52.00376758179532,24.42543021666753,44.39431723526894,55.81088122575639,197.5699190140735,365.00256269134263,-365.00256269134263
0.4637116671444954,-0.7048925004311646,-0.628769919583837,100.0,52.46747924893982,17.376505212355884,40.777925453582775,49.519607764746645,192.04038783210962,340.5992111263496,-340.5992111263496
-0.048692582348337066,0.7017143522918521,-0.46171903553321103,100.0,52.41878666659148,24.393648735274404,38.12233256730805,34.34960560384405,183.8481266560447,286.8969434675769,-286.8969434675769
-0.2373984985522748,-0.13281905227680468,0.7674594363276481,100.0,52.181388168039206,23.065458212506357,42.53640186653562,56.4974691044301,175.69294931045098,345.1853566237413,-345.1853566237413
0.6677194510973168,-0.3372583975734682,-0.5563637465909372,100.0,52.849107619136525,19.692874236771676,39.33645667492835,41.44485058870982,180.698806804008,305.03335857013747,-305.03335857013747
-0.4743590985199946,-0.5629812424686496,0.7547542135580327,100.0,52.37474852061653,14.06306181208518,43.67745144915489,49.87541709688324,169.47994548756463,319.1061967782143,-319.1061967782143
0.4223984702847783,0.5353302664328714,-0.5980936614302081,100.0,52.797146990901304,19.416364476413897,40.2374952195274,28.49537390370622,170.69311058560257,256.17923229672124,-256.17923229672124
-0.2029410066633468,0.09850307631836963,-0.7159715097161836,100.0,52.59420598423796,20.401395239597594,36.11956049807512,29.065738564779377,165.20644916435688,252.403664858695,-252.403664858695
